id,preferred_label,alt_labels,description
esco/skill/java,Java,jdk|jvm|java se,General-purpose object-oriented programming language targeting the Java virtual machine widely used for backend services Android applications and enterprise software.
esco/skill/python,Python,python3|cpython,"High-level dynamic programming language with rich standard library, popular for scripting, automation, data analysis, machine learning, and backend APIs."
esco/skill/javascript,JavaScript,js|ecmascript,"Dynamic scripting language of the web platform, executed in browsers and on servers, foundational for frontend development and Node.js backends."
esco/skill/typescript,TypeScript,ts,"Statically typed superset of JavaScript that compiles to plain JavaScript, used to build maintainable large-scale frontend and backend code bases."
esco/skill/sql,SQL,structured query language|ansi sql,"Declarative query language for relational databases, used to define schemas, retrieve data, and express joins, aggregations, and transactions."
esco/skill/kotlin,Kotlin,,"Statically typed JVM language with null-safety and coroutines, official language for Android application development and increasingly used on the server."
esco/skill/swift,Swift,,"Apple ecosystem programming language with strong type inference and memory safety, used to build iOS, iPadOS, and macOS applications."
esco/skill/go,Go,golang,"Compiled language designed for simplicity and concurrency via goroutines, common in cloud infrastructure, networking services, and command-line tools."
esco/skill/rust,Rust,,"Systems programming language with an ownership model that guarantees memory safety without a garbage collector, used for performance-critical services."
esco/skill/c-plus-plus,C++,cpp,"Compiled systems language with zero-cost abstractions, templates, and manual memory control, used in game engines, operating systems, and trading systems."
esco/skill/object-oriented-programming,Object-Oriented Programming,oop,"Programming paradigm based on classes, objects, encapsulation, inheritance, and polymorphism, applied to model domain concepts as software components."
esco/skill/functional-programming,Functional Programming,fp,"Programming paradigm emphasising pure functions, immutability, and higher-order functions, used to reason about transformations over data."
esco/skill/git,Git,version control|vcs,"Distributed version control system used to track source code history, manage branches, and collaborate through commits, merges, and pull requests."
esco/skill/data-structures,Data Structures,,"Fundamental arrangements of data such as arrays, lists, maps, trees, graphs, heaps, and hash tables, underpinning efficient algorithms and software design."
esco/skill/algorithms,Algorithms,,"Formal procedures for solving computational problems, including sorting, searching, graph traversal, dynamic programming, and greedy strategies."
esco/skill/complexity-analysis,Algorithmic Complexity Analysis,big o|asymptotic analysis,"Analytical reasoning about the time and space cost of algorithms, using big-O notation to compare scalability across input sizes."
esco/skill/concurrency,Concurrency,multithreading|parallelism,"Designing programs where multiple flows of control execute together, coordinating shared state with threads, tasks, locks, and asynchronous primitives."
esco/skill/design-patterns,Software Design Patterns,,"Reusable solutions to recurring design problems in object-oriented software, including creational, structural, and behavioural patterns."
esco/skill/html,HTML,html5|markup,"Markup language used to structure web pages, defining semantic elements, forms, and accessibility landmarks consumed by browsers and assistive technology."
esco/skill/css,CSS,css3|styles,"Style sheet language controlling the presentation of web documents, including layout, typography, responsive design, and animation."
esco/skill/react,React,react.js|reactjs,"Declarative JavaScript library for building component-based user interfaces, with hooks, virtual DOM diffing, and a large ecosystem of libraries."
esco/skill/angular,Angular,,"Opinionated TypeScript frontend framework with dependency injection, reactive forms, and RxJS observables for building enterprise single-page applications."
esco/skill/nodejs,Node.js,node,"JavaScript runtime built on the V8 engine, used to implement event-driven servers, APIs, and command-line tools using asynchronous I/O."
esco/skill/rest-api,REST API Design,rest|restful services,"Designing HTTP interfaces around resources, verbs, status codes, and content negotiation, following REST constraints for clients and servers."
esco/skill/graphql,GraphQL,,"Query language and runtime for APIs, allowing clients to request precisely the fields they need from a typed schema served over HTTP."
esco/skill/spring-boot,Spring Boot,spring|spring framework,"Java framework providing auto-configured building blocks for web services, data access, security, and messaging, backed by the Spring ecosystem."
esco/skill/postgresql,PostgreSQL,postgres,"Open-source relational database with advanced SQL features, JSON support, full-text search, and extensions such as pg_trgm and PostGIS."
esco/skill/mysql,MySQL,mariadb,"Widely used open-source relational database management system supporting transactions, replication, and standard SQL with MyISAM and InnoDB engines."
esco/skill/mongodb,MongoDB,mongo,"Document-oriented NoSQL database storing JSON-like BSON documents, supporting indexes, aggregation pipelines, and horizontal scaling via sharding."
esco/skill/redis,Redis,,"In-memory key-value data store used as a cache, message broker, and lightweight database, supporting lists, sets, streams, and pub/sub."
esco/skill/database-design,Relational Database Design,data modelling|schema design,"Designing normalized relational schemas, choosing keys and indexes, and modelling entity relationships to support performance and data integrity."
esco/skill/orm,Object Relational Mapping,orm frameworks|hibernate|jpa,"Mapping object-oriented domain models to relational tables using frameworks such as Hibernate and JPA, managing identity, associations, and transactions."
esco/skill/machine-learning,Machine Learning,ml|supervised learning,"Building statistical models that learn patterns from data, covering regression, classification, clustering, evaluation, and regularization."
esco/skill/deep-learning,Deep Learning,neural networks,"Training multi-layer neural networks with backpropagation, used for image recognition, natural language processing, and sequence modelling."
esco/skill/pandas,pandas,,"Python library offering DataFrame and Series structures for tabular data analysis, cleaning, joining, grouping, and time-series manipulation."
esco/skill/numpy,NumPy,,"Python library providing multi-dimensional arrays and vectorised numerical operations, the foundation of the scientific Python ecosystem."
esco/skill/tensorflow,TensorFlow,tf|keras,"Open-source deep learning framework with automatic differentiation, GPU acceleration, and a high-level Keras API for model building."
